
> web@0.1.0 dev
> next dev --webpack

   ▲ Next.js 16.0.0 (webpack)
   - Local:        http://localhost:3000
   - Network:      http://192.168.1.3:3000

 ✓ Starting...
 ✓ Ready in 4.2s
 GET / 200 in 2.3s (compile: 1903ms, render: 371ms)
 GET /director/planning/4 200 in 128ms (compile: 86ms, render: 42ms)
 GET /director/planning/4 200 in 131ms (compile: 97ms, render: 34ms)
 GET /director/planning/4 200 in 76ms (compile: 51ms, render: 25ms)
 GET /director/planning/4 200 in 156ms (compile: 11ms, render: 145ms)
 GET /director/planning/4 200 in 150ms (compile: 102ms, render: 49ms)
 GET /director/planning/4 200 in 84ms (compile: 55ms, render: 29ms)
 GET /director/planning/4 200 in 111ms (compile: 72ms, render: 39ms)
 GET /director/planning/4 200 in 142ms (compile: 90ms, render: 52ms)
 GET /director/planning/4 200 in 111ms (compile: 78ms, render: 33ms)
 GET /director/planning/4 200 in 260ms (compile: 186ms, render: 74ms)
 GET /director/planning/4 200 in 101ms (compile: 65ms, render: 36ms)
 GET /director/planning/4 200 in 119ms (compile: 82ms, render: 37ms)
 GET /director/planning/4 200 in 105ms (compile: 71ms, render: 34ms)
 GET /director/planning/4 200 in 114ms (compile: 87ms, render: 27ms)
 GET /director/planning/4 200 in 193ms (compile: 139ms, render: 54ms)
 GET /director/planning/4 200 in 122ms (compile: 86ms, render: 36ms)
 GET /director/planning/4 200 in 81ms (compile: 52ms, render: 29ms)
 GET /director/planning/4 200 in 163ms (compile: 131ms, render: 31ms)
 GET /director/planning/4 200 in 157ms (compile: 118ms, render: 39ms)
 GET /director/planning/4 200 in 103ms (compile: 56ms, render: 47ms)
 GET /director/planning/4 200 in 96ms (compile: 69ms, render: 28ms)
 GET /director/planning/4 200 in 116ms (compile: 60ms, render: 56ms)
 GET /director/planning/4 200 in 97ms (compile: 62ms, render: 35ms)
 GET /director/planning/4 200 in 117ms (compile: 79ms, render: 38ms)
 GET /director/planning/4 200 in 106ms (compile: 64ms, render: 41ms)
 GET /director/planning/4 200 in 329ms (compile: 280ms, render: 49ms)
 GET /director/planning/4 200 in 141ms (compile: 104ms, render: 37ms)
 GET /director/planning/4 200 in 183ms (compile: 109ms, render: 74ms)
 GET /director/planning/4 200 in 351ms (compile: 129ms, render: 221ms)
 GET /director/planning/4 200 in 282ms (compile: 113ms, render: 169ms)
 GET /director/planning/4 200 in 87ms (compile: 56ms, render: 30ms)
 GET /director/planning/4 200 in 247ms (compile: 210ms, render: 37ms)
 GET /director/planning/4 200 in 170ms (compile: 112ms, render: 58ms)
 GET /director 200 in 166ms (compile: 67ms, render: 99ms)
 GET /director/planning/5 200 in 62ms (compile: 22ms, render: 41ms)
 GET /director/planning/5 200 in 195ms (compile: 115ms, render: 80ms)
 GET /director/planning/5 200 in 110ms (compile: 79ms, render: 31ms)
 GET /director/planning/5 200 in 79ms (compile: 52ms, render: 27ms)
 GET /director/planning/5 200 in 201ms (compile: 115ms, render: 85ms)
 GET /director/planning/5 200 in 168ms (compile: 8ms, render: 160ms)
 GET /director 200 in 123ms (compile: 94ms, render: 29ms)
 GET /director/sites/new 200 in 946ms (compile: 911ms, render: 35ms)
 GET /director/planning/6 200 in 91ms (compile: 72ms, render: 19ms)
 GET /director/planning/6 200 in 209ms (compile: 160ms, render: 49ms)
 GET /director/planning/6 200 in 169ms (compile: 99ms, render: 70ms)
 GET /director/planning/6 200 in 106ms (compile: 61ms, render: 45ms)
